E,pt,eta,phi
498926.0,496904.0,0.0577043,-0.208137
144898.0,113339.0,-0.719641,0.601117
84404.9,82808.6,0.163234,-2.83561
1311230.0,384930.0,1.89568,1.61223
149712.0,113604.0,-0.763686,2.7407
89616.4,74095.6,0.621493,-2.4097
41207.6,34963.2,-0.567864,-1.41972
2019590.0,990555.0,1.33227,-2.5772
209754.0,198384.0,0.329607,0.990548
380664.0,61243.9,2.51245,-1.05481
752700.0,45738.4,-3.49279,-2.09955
47281.6,45335.4,-0.264682,-1.47046
676587.0,565498.0,-0.611223,0.91399
375918.0,317763.0,0.570805,0.844619
1403490.0,655310.0,-1.3919,-1.2087
397771.0,391036.0,-0.0431479,-2.67217
274121.0,211069.0,-0.753259,0.821227
326774.0,103781.0,-1.81083,2.8251
166237.0,75907.3,-1.41593,1.51757
106044.0,72818.4,0.91515,1.60007
815050.0,678926.0,-0.612176,-0.340187
100931.0,96013.3,0.102464,-0.897444
278641.0,25898.8,3.06639,0.312306
563461.0,518250.0,-0.373418,-2.40458
236838.0,59513.0,2.05376,1.00509
62484.0,43137.9,-0.913133,0.729353
566770.0,529363.0,-0.368119,-1.09293
226385.0,89217.1,1.58178,0.832402
137208.0,75952.8,-1.18717,0.467469
44972.4,36392.7,-0.651147,-0.151381
30479.0,27191.0,-0.473397,2.3253
802978.0,606971.0,-0.779902,0.200783
987634.0,85269.0,-3.14067,-2.48546
63387.4,31979.1,-1.30274,-0.253451
51572.5,31132.2,1.0861,-1.23209
1007370.0,563718.0,-1.18241,-2.90471
142520.0,70188.4,1.32675,1.90633
55872.6,55253.0,-0.0945492,1.53787
35952.8,31479.5,-0.46511,-1.59128
437053.0,316767.0,-0.839672,-1.64205
262496.0,259459.0,0.00371627,-2.89282
74400.6,53414.8,0.84038,-1.8045
856115.0,401965.0,-1.38752,1.17301
333439.0,320681.0,-0.177055,1.39142
442787.0,28734.6,-3.42677,2.44393
659741.0,604499.0,-0.423699,2.14238
642191.0,352376.0,-1.20686,-1.82759
637118.0,621127.0,-0.216395,-0.0511092
145815.0,40132.9,-1.96103,1.96655
484601.0,33659.1,-3.35897,-3.00365
42726.2,31329.6,-0.819174,3.05763
340164.0,338264.0,0.0578668,-0.0567574
432686.0,267217.0,-1.06109,0.412274
2386530.0,168426.0,3.34298,0.999591
951676.0,741913.0,0.732335,1.4638
95883.6,73674.7,-0.748459,2.80072
70354.8,67895.8,0.239668,2.02868
289428.0,282424.0,0.135253,-1.651
1169390.0,123281.0,2.93994,1.49102
138428.0,101488.0,0.810343,2.18804
73856.4,72651.9,0.0058451,-0.805051
111380.0,68435.4,-1.05736,-0.499168
2042960.0,1188310.0,-1.13654,-0.774387
367620.0,356723.0,-0.237889,2.66863
106825.0,37521.8,1.70527,-2.7894
153997.0,31602.3,2.26573,-1.41798
689441.0,688605.0,0.0235685,-1.48679
3079980.0,750024.0,-2.09049,-0.791117
368956.0,238937.0,0.997513,-2.00345
494441.0,492881.0,0.0151027,-2.86642
216423.0,166453.0,-0.751142,0.163972
214127.0,94654.5,-1.45291,1.65831
59979.5,33482.1,-1.16425,-2.70968
138906.0,31797.1,2.15105,2.60932
443131.0,357918.0,0.669134,3.10935
699640.0,241009.0,1.72636,2.20631
31073.4,30775.6,-0.0079856,2.21299
159189.0,28664.6,-2.39891,-2.02158
670315.0,411060.0,1.06781,-1.27129
166658.0,122126.0,0.823317,0.601431
455449.0,91467.2,2.28786,1.92969
31914.2,28656.5,-0.422574,-0.707624
701674.0,628836.0,-0.470639,0.101822
317827.0,144571.0,-1.42305,1.33284
715858.0,653962.0,0.412217,-2.40638
300370.0,87354.0,-1.90442,1.24689
69582.7,37184.6,-1.23083,-2.07674
1470580.0,290708.0,-2.30352,1.8812
308641.0,285977.0,0.387655,-2.52094
149401.0,138793.0,-0.327695,2.92226
707303.0,435748.0,1.06185,-2.82993
319705.0,234856.0,-0.824008,1.97328
542146.0,415940.0,0.753175,-1.31956
272761.0,270380.0,-0.0731878,-1.0977
97036.4,92994.8,-0.141133,-0.466724
178024.0,25857.6,2.61619,0.560415
313887.0,233644.0,0.793024,2.87453
552236.0,202542.0,-1.66022,1.66009
170439.0,143456.0,-0.589325,-2.97369
85411.3,64143.0,0.770319,1.85075
1103280.0,54652.9,-3.69749,-0.643228
35547.3,33920.3,-0.118132,-0.853091
329935.0,29036.7,3.12113,2.16995
669707.0,621698.0,0.353747,-2.06787
824888.0,100171.0,2.79764,2.66624
2176690.0,1013880.0,-1.39398,2.87488
330239.0,321794.0,-0.120541,-1.5234
89428.8,88157.1,0.0130881,-0.432969
182671.0,53557.6,1.89607,2.71929
419305.0,51635.4,2.78319,-2.4895
74144.1,35649.8,-1.36126,-2.77197
592077.0,422969.0,0.862721,1.26872
99962.9,98173.9,0.166288,-0.225646
84688.0,49485.7,1.12546,0.0692695
92056.9,30693.2,-1.75899,0.193232
77021.3,24082.1,-1.82935,-1.22277
956368.0,463174.0,-1.34372,-1.29695
251059.0,197140.0,-0.709931,1.90623
685419.0,581798.0,0.571973,-1.16589
71959.7,44462.3,-1.05702,2.0218
968432.0,832542.0,-0.537516,2.79167
640218.0,146569.0,2.15333,1.2844
475757.0,472332.0,-0.111839,2.95567
176706.0,163842.0,0.382186,-2.31749
64630.0,58939.0,0.398385,-1.05884
66826.4,24815.1,1.64156,0.384442
712626.0,584874.0,-0.648516,-1.47046
740383.0,271791.0,1.65745,2.53282
137216.0,103906.0,-0.775898,-3.03852
255936.0,36540.1,-2.63388,-1.90442
582504.0,424756.0,0.83285,3.08652
299394.0,229096.0,0.761072,2.20985
717998.0,592175.0,0.637129,2.53084
232548.0,148606.0,1.00317,-1.85901
71088.9,68316.2,0.223985,0.677404
71413.1,58706.9,-0.626585,0.900741
498326.0,491274.0,0.144753,-0.270643
289742.0,130725.0,1.42893,0.604061
1104980.0,932732.0,0.590704,-2.02743
268821.0,221662.0,0.624013,1.181
187370.0,107637.0,1.15017,-2.97273
154599.0,104092.0,-0.939815,-1.58864
934614.0,885620.0,0.329407,-2.72764
157739.0,139337.0,0.457408,-0.474483
335138.0,91018.0,-1.97638,-3.0927
64343.6,33144.2,1.27977,-0.119554
511716.0,484055.0,0.329204,-0.258296
369813.0,279340.0,0.783145,1.97157
70606.8,29647.8,-1.50857,-2.96268
1190720.0,919927.0,0.748969,0.598941
189041.0,168582.0,-0.480728,-2.89783
857833.0,633814.0,-0.812518,-1.73981
67548.7,63965.0,0.320333,-1.6316
60316.7,56052.8,0.351803,-0.318948
241259.0,44429.6,2.37534,-1.3038
47690.1,24447.4,1.28035,-2.36317
710981.0,531803.0,-0.793912,-1.29823
1225550.0,192434.0,2.53824,2.2828
95299.8,90462.6,0.271041,1.69556
57585.8,41621.8,-0.837724,-1.98208
75828.1,34392.2,-1.42332,0.502881
377083.0,322771.0,-0.56969,0.470605
377909.0,222977.0,-1.09907,2.18014
143005.0,63529.9,1.44939,-1.7621
149818.0,48210.7,-1.79873,-1.6682
639584.0,27475.2,-3.84017,-0.0715226
223973.0,27183.8,-2.79762,-0.345229
657352.0,622767.0,0.321188,2.72621
215597.0,74326.3,-1.72463,2.50528
55080.4,35176.2,-1.01355,-1.57036
1455580.0,338397.0,2.13788,0.881201
668837.0,241408.0,1.67626,-0.946012
207658.0,144551.0,-0.894454,-1.88505
405299.0,308903.0,0.756781,-0.854935
141599.0,113446.0,-0.657638,1.91393
77289.5,74210.8,0.157592,2.22384
781752.0,59927.6,-3.25992,-0.516345
1571120.0,32380.7,-4.57501,-2.54319
88729.9,25315.0,-1.9213,1.93973
709783.0,615901.0,-0.536118,2.05236
383926.0,336224.0,-0.52602,-1.21177
689355.0,312214.0,1.42883,-0.714373
261753.0,244775.0,0.350261,-3.05091
202029.0,80785.5,1.56619,-1.67622
1064110.0,453912.0,1.49543,-0.940136
289325.0,153185.0,1.24598,0.257967
69737.9,46720.4,-0.946426,0.315616
645243.0,563205.0,-0.5271,-1.48011
348562.0,42880.7,2.78458,-2.9247
872994.0,562642.0,1.00524,-1.47871
975453.0,280325.0,-1.91833,2.52376
264298.0,228229.0,0.508023,2.71184
302580.0,57564.1,-2.34262,1.01055
552166.0,54629.3,-3.00381,1.22622
467471.0,452161.0,0.25349,-0.530416
158918.0,87525.0,1.19962,-1.89725
67531.0,64786.1,-0.251027,-2.20068
700033.0,683158.0,-0.132609,-2.28841
310814.0,74093.5,2.11197,-1.49103
60393.9,36331.8,-1.08043,1.96081
464758.0,455423.0,0.185026,-0.896743
1514280.0,274041.0,2.39379,-2.04935
502929.0,393302.0,0.722995,-2.15475
1178860.0,338824.0,-1.91844,2.22774
413186.0,312829.0,0.779796,2.68609
94249.2,81885.0,-0.519623,-2.73232
73075.3,68752.4,-0.345992,0.544124
56466.0,54473.7,-0.193084,2.25698
1341240.0,425695.0,-1.81394,2.98586
810149.0,196064.0,-2.09648,-0.135538
182697.0,93558.7,-1.28331,-0.13333
117029.0,76985.3,0.966842,2.6968
1377500.0,779472.0,1.1684,2.17104
744604.0,115551.0,-2.54962,2.56503
805141.0,802342.0,-0.0535974,1.46259
362941.0,84483.6,2.13604,1.64819
159586.0,81192.0,-1.29135,-1.12407
97123.0,63677.9,0.978899,-3.13106
33023.1,24833.5,-0.764568,-3.00617
713699.0,460294.0,0.999894,1.77415
137882.0,135641.0,0.135984,-1.81725
80380.4,58702.5,0.826467,-2.28936
781506.0,641401.0,0.64319,-2.57061
106317.0,29973.9,1.9356,0.849605
180778.0,27759.9,-2.56051,-2.97202
810753.0,664404.0,0.643486,2.85741
39570.3,37250.9,-0.262718,-0.1223
620284.0,528558.0,0.578717,2.54102
397459.0,157663.0,1.57547,-1.06212
121724.0,40960.1,-1.75117,-1.72272
790161.0,241393.0,-1.85367,3.02926
913820.0,230269.0,-2.05504,2.16342
204256.0,143586.0,-0.885924,1.78052
120860.0,40645.5,1.75116,-0.234876
82518.4,25189.1,1.85391,-1.69953
617104.0,568600.0,0.396773,1.64634
201211.0,108848.0,1.21881,0.365182
881277.0,759154.0,-0.554105,-2.74817
372640.0,78130.8,-2.24339,1.28967
1188670.0,1119230.0,0.34211,2.71465
1208340.0,342610.0,1.93194,-2.2514
114717.0,92834.8,-0.671457,-1.48707
81223.5,73074.2,-0.462661,2.99875
348544.0,49736.6,-2.6348,-0.741309
83539.2,48698.7,1.12668,2.92092
1543780.0,496281.0,1.79675,1.1437
1227100.0,182956.0,-2.59028,-2.34841
237883.0,72708.2,-1.85149,1.50093
269298.0,65971.5,2.08208,-0.0706536
1899140.0,358952.0,-2.34957,1.78423
1059720.0,316561.0,1.878,2.88783
562306.0,546790.0,0.17393,-0.948139
65698.6,39272.7,-1.08459,-0.415605
28555.8,24006.2,-0.548325,-1.0868
396712.0,22620.7,-3.55667,-2.98165
644315.0,439709.0,0.924161,-1.6033
531761.0,141429.0,-1.99738,1.67058
158653.0,90351.4,1.14651,1.08531
1452390.0,1430780.0,0.164157,1.4752
142319.0,134022.0,0.269322,-1.88154
95354.2,28351.7,-1.87943,0.599244
699328.0,672229.0,-0.253409,1.92016
871071.0,783879.0,-0.465998,-2.20685
721160.0,406541.0,1.17083,-0.180002
88381.5,82195.3,0.374387,0.0949638
1081260.0,557746.0,1.27636,2.56702
906692.0,555630.0,-1.06071,-0.60387
518794.0,277778.0,-1.23249,0.156937
277486.0,70914.5,2.03995,-2.12498
457315.0,56550.2,-2.77923,2.43529
394187.0,33999.7,3.14165,1.56779
742078.0,620259.0,-0.607064,-2.75416
1122250.0,250949.0,2.17798,1.6912
205497.0,46155.2,-2.17327,2.45823
107280.0,38468.6,-1.68138,1.60074
42062.9,35049.1,-0.612288,1.61332
42862.5,34023.5,-0.692257,2.72853
312273.0,200519.0,1.00571,3.10977
388995.0,184959.0,1.37168,-1.11839
211034.0,182030.0,0.548618,-1.7257
126099.0,121191.0,0.247977,-2.78757
119070.0,92585.8,-0.727123,-2.52897
829555.0,566996.0,0.928551,-1.70007
307473.0,157678.0,1.28386,1.366
78677.4,75785.1,0.0974145,0.754733
36616.4,31039.7,0.56932,1.44877
700954.0,624304.0,0.476003,0.669219
278067.0,222492.0,0.687704,1.25612
542985.0,218212.0,-1.55789,1.48275
95368.8,30644.5,-1.79806,0.638736
763818.0,674948.0,-0.485288,1.65885
124688.0,37579.2,1.86329,-2.44925
170951.0,25111.8,2.60519,-0.359215
1272170.0,529390.0,-1.52221,-1.75767
60045.7,46320.4,-0.74454,2.83557
257354.0,45390.3,2.41907,-0.0170797
1534690.0,867143.0,-1.16798,2.07868
847531.0,763560.0,0.395625,-0.963893
136737.0,85209.2,1.04378,-1.8847
1015590.0,39685.0,3.93497,0.832421
583659.0,437421.0,0.791548,-2.90578
632288.0,179006.0,-1.93315,0.53888
694245.0,79187.6,2.86071,-1.0947
151500.0,26102.7,2.4431,1.75742
912758.0,758359.0,0.616824,-2.1805
41742.4,30517.1,-0.813614,-1.59951
530492.0,511012.0,-0.253154,-1.0258
1122170.0,83142.5,3.29417,0.119467
35660.0,31580.7,-0.440294,1.45116
1096250.0,869402.0,-0.656956,1.35613
314328.0,143063.0,-1.41941,2.09819
71436.0,44797.5,-1.03933,0.642832
137313.0,37972.7,-1.95773,-2.58868
958586.0,774492.0,0.661204,-0.391387
93426.5,70787.2,0.76361,-1.53621
719076.0,398330.0,1.19557,2.24129
257585.0,183316.0,0.864133,-1.14815
372809.0,97021.3,-2.02015,0.467931
61310.3,52411.7,-0.570172,0.780653
244833.0,42640.9,-2.4327,-0.164121
514992.0,426484.0,0.625103,-3.03773
193099.0,99265.3,-1.28452,-2.72641
84698.5,78746.2,0.298237,1.47857
424145.0,23321.2,3.59299,-3.0494
720644.0,441416.0,-1.0703,0.78963
356750.0,230229.0,0.996747,-0.823379
349620.0,25954.7,-3.2922,-0.737083
1501550.0,576917.0,1.6096,0.0304621
182734.0,146634.0,0.68241,2.76285
1258900.0,576987.0,1.414,1.82891
77494.8,57057.6,0.816468,1.45792
33922.2,28205.2,-0.591558,-2.05112
663511.0,481686.0,-0.836247,1.68828
1082130.0,138672.0,2.74327,-0.0879247
1053180.0,106592.0,-2.98103,2.31612
1367650.0,46378.5,-4.07684,-0.565081
743236.0,720473.0,-0.221758,0.0412553
89022.8,82058.9,0.363915,-0.397216
226122.0,48954.2,2.20978,-0.424557
400002.0,394916.0,0.140905,2.83308
201656.0,147015.0,-0.822745,1.46057
440210.0,92925.6,-2.23601,-1.92565
85815.0,83467.5,0.0847097,1.12067
87610.7,82779.4,-0.310259,0.257268
47213.0,32043.0,0.928428,-0.110541
61861.1,24867.7,-1.55201,-1.6847
1425790.0,946041.0,-0.936248,-1.50131
511930.0,404514.0,-0.69421,1.76183
107911.0,58952.2,-1.21016,-0.62356
160858.0,31950.9,2.2984,-1.09453
318810.0,28166.6,-3.11743,-1.47643
1045780.0,1001360.0,0.113526,2.31388
157449.0,95221.1,-1.08344,-0.439874
71724.0,23682.3,-1.77118,0.0551395
142748.0,23005.1,-2.5118,1.83399
393157.0,355025.0,-0.442513,1.42853
247866.0,142723.0,-1.13694,-1.34923
141155.0,75013.9,-1.23805,1.00746
136401.0,54860.9,-1.55606,-0.658239
241028.0,27481.8,-2.86096,-1.52758
114487.0,27287.0,-2.11119,0.259016
860474.0,396347.0,-1.40878,0.939289
280970.0,251001.0,-0.36998,0.808889
296444.0,132044.0,-1.44663,-0.776665
89012.9,80842.4,-0.417692,-2.29956
182031.0,66444.2,1.66341,1.80835
47046.2,46367.1,-0.0354556,1.39292
804235.0,590662.0,0.821727,1.54488
62844.0,56358.8,-0.453443,-2.85753
68675.0,55538.7,0.660368,2.22662
350410.0,328441.0,-0.358206,2.85299
828273.0,319570.0,1.60406,0.903604
205734.0,195876.0,-0.288903,-1.2306
168355.0,35363.0,2.2407,1.43731
927659.0,857580.0,0.376618,-3.12277
185017.0,173338.0,-0.20877,0.383307
496976.0,466962.0,-0.348429,0.487158
146979.0,143487.0,0.187021,-1.46617
417424.0,114306.0,-1.96796,0.938684
480251.0,269206.0,-1.17402,-2.89632
150355.0,138131.0,0.366913,-1.54811
318407.0,110941.0,1.71458,0.797752
79316.9,73860.1,-0.373529,2.89368
40224.3,34744.2,-0.503056,0.196859
54067.1,30495.6,-1.15491,-1.80186
960403.0,944340.0,0.138736,0.132425
44439.8,35251.4,-0.667976,-0.345438
1108650.0,915539.0,-0.619885,1.9337
183515.0,23389.9,2.74875,-1.86737
588459.0,446442.0,-0.771195,0.97843
386245.0,271677.0,-0.885762,-1.42288
609343.0,123276.0,-2.28013,-2.71277
670073.0,74210.4,-2.89036,0.945732
695542.0,677966.0,0.0208605,0.420564
187987.0,182480.0,-0.203391,1.81314
213589.0,109637.0,-1.27727,0.174219
250537.0,26232.2,-2.94649,0.147843
786439.0,442712.0,-1.16764,-2.4549
211771.0,183249.0,-0.542841,3.1161
762664.0,734099.0,0.274915,-1.46624
348149.0,163612.0,1.38631,-0.725001
59036.1,45497.6,-0.74799,-1.1199
641206.0,28742.5,-3.79755,-0.877831
1973250.0,625706.0,-1.81533,1.81685
783912.0,110493.0,-2.64723,1.3316
638536.0,349710.0,-1.20824,-2.49693
320141.0,259316.0,0.665653,-1.19748
141634.0,35700.9,2.05419,3.06925
34097.6,27634.0,0.627156,2.1676
755971.0,412904.0,-1.20855,-2.94375
224684.0,135457.0,1.08994,-1.2429
88007.1,73815.5,0.608733,1.38471
723907.0,648721.0,-0.45963,-0.959417
497181.0,494949.0,0.0599533,1.30864
621215.0,204064.0,1.77602,-0.892422
271459.0,156759.0,1.1298,0.8082
64914.3,41372.5,1.01108,1.56396
2185710.0,526905.0,-2.10072,0.122373
158589.0,81672.5,1.27971,-0.60655
698653.0,521078.0,-0.800429,2.32881
719632.0,304167.0,-1.50431,-1.28873
530027.0,152947.0,-1.91297,-0.412552
184774.0,141756.0,0.757483,1.74927
37042.1,36589.2,-0.0299839,2.1181
110364.0,23283.4,-2.23745,-1.59981
996440.0,951499.0,0.222663,0.0144178
45764.1,30147.3,0.967206,0.201403
470240.0,189977.0,-1.55183,2.60041
419994.0,180501.0,1.48669,-0.0119342
106239.0,76354.3,0.835581,0.463563
165206.0,71507.9,1.47479,1.86319
58302.7,49259.7,0.588697,1.79659
225947.0,40499.0,2.40356,-0.326779
2578800.0,501449.0,-2.32108,-0.222398
972900.0,317630.0,-1.7842,1.71109
285006.0,272768.0,0.213825,0.547885
430495.0,249770.0,-1.13571,1.9066
228538.0,174637.0,0.758501,0.0844944
430994.0,108130.0,2.05854,-1.23934
164600.0,102706.0,-1.0488,2.77629
911970.0,893280.0,0.108591,1.89771
151343.0,146850.0,0.186198,0.974191
1343160.0,27108.3,4.59597,0.976652
1326280.0,938813.0,-0.873928,1.52195
465533.0,56835.1,-2.79189,-1.05549
204707.0,37159.8,2.38979,-1.18832
987647.0,626973.0,-1.01642,0.511359
239124.0,151421.0,1.02811,-1.65483
48394.8,40178.6,-0.62551,-0.617612
76868.0,33301.1,-1.4684,1.16483
1136200.0,984077.0,-0.512452,2.40617
494536.0,303483.0,1.06237,2.71406
389961.0,128075.0,1.7778,2.44573
471802.0,109766.0,-2.1351,-0.961307
69073.9,66058.3,0.271926,2.82301
641243.0,633080.0,0.148253,1.64738
331351.0,105252.0,-1.81106,-1.79556
94556.6,70470.4,0.794827,2.2492
301898.0,54755.9,-2.39109,1.58314
162827.0,25721.9,2.53044,-0.0105304
160527.0,24026.4,-2.58597,2.9721
327099.0,312658.0,-0.273002,0.268715
789437.0,304932.0,-1.60222,2.29508
182308.0,24279.1,-2.7042,2.75625
506369.0,290614.0,-1.14599,-2.52241
297193.0,276663.0,0.324151,2.1384
248124.0,150321.0,1.08324,-1.75881
57122.9,56071.1,0.00105913,2.88401
299878.0,37449.6,2.76919,-0.54845
899025.0,27857.8,4.16706,-0.551042
524272.0,425909.0,0.616189,0.693247
329868.0,237601.0,0.853397,-0.057833
484537.0,421686.0,-0.536874,1.09097
128667.0,101946.0,-0.66721,-1.20197
72428.5,50518.8,0.894474,0.754118
36895.4,34246.3,0.378898,-0.124835
2343460.0,870041.0,-1.64747,0.672419
635483.0,615362.0,-0.242423,2.59948
434144.0,34234.7,3.23168,-1.25881
1854550.0,561047.0,1.86395,2.24851
107277.0,79445.2,0.781442,1.79259
24860.8,24618.3,-0.0284197,1.62645
927724.0,719316.0,0.742997,0.313524
350905.0,322265.0,0.402124,3.07323
651348.0,134866.0,-2.25658,0.853245
50604.3,49958.1,-0.124192,1.38551
34038.6,33666.3,0.120037,2.34656
313130.0,283111.0,-0.349263,1.96168
449428.0,217908.0,-1.35087,-1.55781
117886.0,111806.0,0.303766,2.4136
35057.5,27314.0,0.72154,1.30186
24934.3,24414.6,-0.163188,2.96863
371490.0,356243.0,0.238813,-0.0732619
316283.0,289732.0,-0.422652,-1.56403
1937200.0,827320.0,-1.49416,0.259462
549385.0,519153.0,0.287343,2.86197
510916.0,115620.0,2.16585,0.774115
115335.0,55952.7,1.34536,2.67037
27953.0,26699.2,0.263639,-1.76257
541763.0,537323.0,-0.0679013,1.51254
209073.0,161400.0,0.744847,-1.82769
1417710.0,477928.0,1.75036,-2.90661
538337.0,316444.0,1.12319,0.584504
26343.2,24835.0,0.344954,0.0882259
860135.0,836425.0,-0.175156,2.73393
389557.0,329478.0,0.571468,-2.38258
301633.0,278542.0,-0.36946,-1.09628
175802.0,146837.0,-0.602362,-0.323943
138493.0,125923.0,0.386588,-1.12321
201045.0,90396.4,1.43565,-2.12304
108066.0,57664.8,1.23748,-1.45572
67152.6,37209.9,-1.18658,-1.71432
468513.0,328591.0,-0.884254,2.85134
689591.0,307420.0,-1.44574,-2.84576
482282.0,222482.0,1.40704,1.02765
187104.0,175369.0,-0.327341,-2.3692
89741.6,76979.5,0.562445,1.22524
61123.3,39553.3,0.999795,0.490404
260397.0,26129.4,-2.98935,-2.47499
59208.8,26063.1,-1.45219,2.17453
817855.0,746914.0,-0.402306,0.930303
58626.0,48220.2,0.610738,-2.5838
958447.0,603416.0,1.03686,0.763274
449033.0,414757.0,0.397745,2.54619
69345.6,62637.6,-0.436013,0.969521
80926.8,37524.9,-1.39587,2.53349
81015.0,24716.0,-1.85335,-1.04778
530990.0,342479.0,0.977437,-0.431241
389612.0,193954.0,-1.32109,-0.411951
167645.0,112466.0,0.948638,1.35002
201780.0,88122.0,1.46703,0.228706
549725.0,543823.0,-0.051139,-0.982833
411379.0,387657.0,-0.315314,0.345815
474088.0,311471.0,0.97678,-0.153978
688502.0,252428.0,-1.65439,-0.744877
127329.0,45429.6,-1.6871,-1.43397
330885.0,37679.0,-2.86196,1.57282
761640.0,693037.0,-0.439621,0.0890908
151465.0,68079.0,-1.43586,-1.78225
1476880.0,38177.5,4.34842,-1.56552
1068320.0,415841.0,-1.59471,2.03489
394686.0,305141.0,-0.739306,0.230393
36818.5,28987.1,-0.719458,1.79841
37277.2,24028.4,0.99136,-2.11176
1015570.0,829056.0,0.658628,2.1919
788209.0,118666.0,2.5802,-1.03298
181751.0,75770.9,-1.51566,0.0278634
1115490.0,1082790.0,-0.241838,-2.45583
121174.0,116899.0,-0.140609,1.98086
334719.0,34187.2,2.97171,1.93934
2106470.0,1638540.0,0.737752,-0.708618
653099.0,584282.0,0.401505,2.04336
76011.1,63173.2,-0.617454,1.13724
648431.0,569074.0,0.518549,2.85538
113428.0,85775.7,0.770385,0.868214
706624.0,410994.0,1.13206,2.13971
527259.0,178991.0,-1.74158,0.488133
161212.0,47538.9,-1.88913,-2.97895
456271.0,395814.0,-0.53947,2.62676
356089.0,231100.0,-0.984897,1.02358
121322.0,98361.1,0.628415,-1.64983
119374.0,45031.1,-1.62944,0.864957
332668.0,31408.2,-3.0506,0.570088
826529.0,359186.0,1.47448,-2.6867
823507.0,351656.0,-1.49382,2.8744
558363.0,546790.0,0.044562,-1.58187
248429.0,127183.0,-1.28844,2.32324
480555.0,50343.5,-2.94621,1.47214
255591.0,31235.2,-2.79111,-3.01722
1357500.0,967043.0,0.86909,0.646068
277893.0,87311.1,-1.81694,-1.98452
46823.4,32234.5,-0.911391,-2.82904
247676.0,23760.3,-3.03485,2.71903
1344110.0,1231940.0,0.419205,-0.954628
289981.0,289547.0,-0.0175986,2.18139
24585.7,24098.9,0.0781849,-1.70427
516889.0,280336.0,1.21901,-1.9875
337587.0,276362.0,-0.651393,-2.91337
50273.8,46507.3,-0.392433,0.330716
70501.7,35255.9,-1.30946,1.78289
1062000.0,774362.0,0.836234,-1.85026
289913.0,282072.0,0.0899163,-0.00223548
184708.0,180914.0,-0.188,2.46039
262616.0,45429.4,2.43901,1.81055
55058.8,42580.4,0.746212,2.11286
131239.0,37089.4,-1.93091,2.30725
30406.1,26991.0,0.439578,1.06383
1149290.0,1049410.0,0.429226,-2.42495
388151.0,367096.0,0.0842426,-0.613954
215466.0,198468.0,0.40153,1.8525
59103.3,34845.2,-1.10348,2.38056
31822.6,31643.2,8.77875e-05,0.102325
31915.2,26324.5,-0.629548,1.37173
466514.0,327947.0,0.883177,-1.4208
450116.0,280415.0,1.04881,1.29313
668179.0,555417.0,0.624794,-0.243675
231646.0,50520.3,-2.20334,2.18927
831410.0,720730.0,0.543497,0.249507
121047.0,62251.2,-1.27595,1.30904
134730.0,41575.4,-1.8422,-0.867577
176752.0,38876.6,-2.19069,2.21844
311018.0,30323.5,3.01831,-0.957665
45757.2,28235.4,1.04489,-0.650583
161342.0,28141.3,2.43129,-0.475244
1042670.0,1013090.0,0.14056,-0.910967
619853.0,389626.0,-1.0375,2.37015
139750.0,136652.0,0.204087,-0.0968337
96717.4,31610.8,-1.781,2.25969
987942.0,662497.0,-0.954239,-0.0732066
